Data,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
1999-07-01,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-02,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-05,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-06,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-07,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-08,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-09,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-12,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-13,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-14,-1.0,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-15,-1.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-16,-1.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-19,-1.0,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-20,-1.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-21,-1.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-22,-1.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-23,-1.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-26,-0.9,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-27,-0.9,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-28,-1.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-07-29,-0.88,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
