,Indicador,Data,Suavizada,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
0,IPCA,2001-11-07,N,5.52,5.48,0.58,4.31,6.24,,0
1,IPCA,2001-11-08,N,5.67,5.79,0.56,4.31,6.27,,0
2,IPCA,2001-11-09,N,5.39,5.53,0.58,4.12,6.17,,0
3,IPCA,2001-11-12,N,5.4,5.42,0.53,4.44,6.38,,0
4,IPCA,2001-11-13,N,5.43,5.48,0.5,4.44,6.38,,0
5,IPCA,2001-11-14,N,5.49,5.53,0.5,4.44,6.38,,0
6,IPCA,2001-11-16,N,5.44,5.48,0.51,4.44,6.38,,0
7,IPCA,2001-11-19,N,5.43,5.48,0.51,4.44,6.38,,0
8,IPCA,2001-11-20,N,5.43,5.48,0.51,4.44,6.38,,0
9,IPCA,2001-11-21,N,5.44,5.48,0.5,4.44,6.38,,0
10,IPCA,2001-11-22,N,5.44,5.48,0.52,4.44,6.38,,0
11,IPCA,2001-11-23,N,5.45,5.48,0.53,4.44,6.38,,0
12,IPCA,2001-11-26,N,5.46,5.48,0.53,4.44,6.38,,0
13,IPCA,2001-11-27,N,5.5,5.5,0.57,4.44,7.12,,0
14,IPCA,2001-11-28,N,5.51,5.48,0.59,4.44,7.33,,0
15,IPCA,2001-11-29,N,5.54,5.52,0.59,4.46,7.33,,0
16,IPCA,2001-11-30,N,5.57,5.67,0.59,4.46,7.33,,0
17,IPCA,2001-12-03,N,5.56,5.67,0.57,4.46,7.01,,0
18,IPCA,2001-12-04,N,5.56,5.67,0.57,4.46,7.01,,0
19,IPCA,2001-12-05,N,5.57,5.67,0.57,4.46,7.01,,0
20,IPCA,2001-12-06,N,5.57,5.67,0.58,4.46,7.01,,0
21,IPCA,2001-12-07,N,5.59,5.67,0.59,4.46,7.1,,0
22,IPCA,2001-12-10,N,5.59,5.79,0.58,4.46,7.1,,0
23,IPCA,2001-12-11,N,5.56,5.62,0.6,4.46,7.1,,0
24,IPCA,2001-12-12,N,5.16,5.22,0.57,4.05,6.64,,0
25,IPCA,2001-12-12,S,5.17,5.22,0.56,,,,0
26,IPCA,2001-12-13,N,5.16,5.22,0.57,4.05,6.64,,0
27,IPCA,2001-12-13,S,5.16,5.22,0.55,,,,0
28,IPCA,2001-12-14,N,5.12,5.16,0.59,3.48,6.64,,0
29,IPCA,2001-12-14,S,5.13,5.15,0.57,,,,0
30,IPCA,2001-12-17,N,5.12,5.16,0.58,3.48,6.64,,0
31,IPCA,2001-12-17,S,5.12,5.16,0.57,,,,0
32,IPCA,2001-12-18,N,5.09,5.12,0.59,3.48,6.8,,0
33,IPCA,2001-12-18,S,5.09,5.13,0.58,,,,0
34,IPCA,2001-12-19,N,5.11,5.12,0.54,4.12,6.8,,0
35,IPCA,2001-12-19,S,5.11,5.11,0.53,,,,0
36,IPCA,2001-12-20,N,5.04,5.07,0.57,3.87,6.8,,0
37,IPCA,2001-12-20,S,5.04,5.07,0.56,,,,0
38,IPCA,2001-12-21,N,5.01,5.02,0.58,3.87,6.8,,0
39,IPCA,2001-12-21,S,5.0,5.01,0.58,,,,0
40,IPCA,2001-12-24,N,5.0,5.04,0.59,3.87,6.8,,0
