,Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
0,PIB Total,,1999-07-01,1999,-1.27,-1.0,0.96,,,,0
1,PIB Total,,1999-07-01,2000,3.92,4.0,0.59,,,,0
2,PIB Total,,1999-07-02,1999,-1.27,-1.0,0.96,,,,0
3,PIB Total,,1999-07-02,2000,3.92,4.0,0.59,,,,0
4,PIB Total,,1999-07-05,1999,-1.27,-1.0,0.96,,,,0
5,PIB Total,,1999-07-05,2000,3.88,4.0,0.57,,,,0
6,PIB Total,,1999-07-06,1999,-1.23,-1.0,0.93,,,,0
7,PIB Total,,1999-07-06,2000,3.88,4.0,0.57,,,,0
8,PIB Total,,1999-07-07,1999,-1.21,-1.0,0.95,,,,0
9,PIB Total,,1999-07-07,2000,3.88,4.0,0.57,,,,0
10,PIB Total,,1999-07-08,1999,-1.21,-1.0,0.95,,,,0
11,PIB Total,,1999-07-08,2000,3.86,4.0,0.56,,,,0
12,PIB Total,,1999-07-09,1999,-1.21,-1.0,0.95,,,,0
13,PIB Total,,1999-07-09,2000,3.86,4.0,0.56,,,,0
14,PIB Total,,1999-07-12,1999,-1.21,-1.0,0.95,,,,0
15,PIB Total,,1999-07-12,2000,3.86,4.0,0.56,,,,0
16,PIB Total,,1999-07-13,1999,-1.21,-1.0,0.95,,,,0
17,PIB Total,,1999-07-13,2000,3.86,4.0,0.56,,,,0
18,PIB Total,,1999-07-14,1999,-1.21,-1.0,0.95,,,,0
19,PIB Total,,1999-07-14,2000,3.82,3.85,0.58,,,,0
20,PIB Total,,1999-07-15,1999,-1.21,-1.0,0.95,,,,0
21,PIB Total,,1999-07-15,2000,3.81,3.7,0.57,,,,0
22,PIB Total,,1999-07-16,1999,-1.21,-1.0,0.95,,,,0
23,PIB Total,,1999-07-16,2000,3.81,3.7,0.57,,,,0
24,PIB Total,,1999-07-19,1999,-1.21,-1.0,0.95,,,,0
25,PIB Total,,1999-07-19,2000,3.82,3.85,0.58,,,,0
26,PIB Total,,1999-07-20,1999,-1.17,-1.0,0.92,,,,0
27,PIB Total,,1999-07-20,2000,3.81,3.7,0.57,,,,0
28,PIB Total,,1999-07-21,1999,-1.16,-1.0,0.94,,,,0
29,PIB Total,,1999-07-21,2000,3.81,3.7,0.57,,,,0
30,PIB Total,,1999-07-22,1999,-1.16,-1.0,0.94,,,,0
31,PIB Total,,1999-07-22,2000,3.81,3.7,0.57,,,,0
32,PIB Total,,1999-07-23,1999,-1.16,-1.0,0.94,,,,0
33,PIB Total,,1999-07-23,2000,3.81,3.7,0.57,,,,0
34,PIB Total,,1999-07-26,1999,-1.05,-0.9,0.86,,,,0
35,PIB Total,,1999-07-26,2000,3.77,3.7,0.58,,,,0
36,PIB Total,,1999-07-27,1999,-1.01,-0.9,0.8,,,,0
37,PIB Total,,1999-07-27,2000,3.71,3.6,0.59,,,,0
38,PIB Total,,1999-07-28,1999,-1.16,-1.0,0.94,,,,0
39,PIB Total,,1999-07-28,2000,3.81,3.7,0.57,,,,0
40,PIB Total,,1999-07-29,1999,-0.98,-0.88,0.8,,,,0
41,PIB Total,,1999-07-29,2000,3.71,3.6,0.59,,,,0
42,PIB Total,,1999-07-30,1999,-0.98,-0.88,0.8,,,,0
43,PIB Total,,1999-07-30,2000,3.7,3.55,0.58,,,,0
44,PIB Total,,1999-08-02,1999,-0.98,-0.88,0.8,,,,0
45,PIB Total,,1999-08-02,2000,3.71,3.6,0.59,,,,0
46,PIB Total,,1999-08-03,1999,-0.9,-0.8,0.79,,,,0
47,PIB Total,,1999-08-03,2000,3.69,3.55,0.57,,,,0
48,PIB Total,,1999-08-04,1999,-0.89,-0.8,0.79,,,,0
49,PIB Total,,1999-08-04,2000,3.69,3.55,0.57,,,,0
50,PIB Total,,1999-08-05,1999,-0.9,-0.8,0.79,,,,0
51,PIB Total,,1999-08-05,2000,3.69,3.55,0.57,,,,0
52,PIB Total,,1999-08-06,1999,-0.9,-0.8,0.79,,,,0
53,PIB Total,,1999-08-06,2000,3.69,3.55,0.57,,,,0
