,Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
0,Câmbio,,2000-01-03,2000,1.96,1.95,0.1,,,,0
1,Câmbio,,2000-01-04,2000,1.95,1.95,0.1,,,,0
2,Câmbio,,2000-01-05,2000,1.95,1.94,0.1,,,,0
3,Câmbio,,2000-01-06,2000,1.96,1.95,0.1,,,,0
4,Câmbio,,2000-01-07,2000,1.96,1.95,0.1,,,,0
5,Câmbio,,2000-01-10,2000,1.96,1.95,0.1,,,,0
6,Câmbio,,2000-01-11,2000,1.96,1.95,0.1,,,,0
7,Câmbio,,2000-01-12,2000,1.96,1.95,0.1,,,,0
8,Câmbio,,2000-01-13,2000,1.95,1.94,0.1,,,,0
9,Câmbio,,2000-01-13,2001,1.97,1.97,0.04,,,,0
10,Câmbio,,2000-01-14,2000,1.96,1.94,0.09,,,,0
11,Câmbio,,2000-01-14,2001,1.97,1.97,0.04,,,,0
12,Câmbio,,2000-01-17,2000,1.96,1.94,0.09,,,,0
13,Câmbio,,2000-01-17,2001,1.97,1.97,0.04,,,,0
14,Câmbio,,2000-01-18,2000,1.96,1.94,0.09,,,,0
15,Câmbio,,2000-01-18,2001,1.97,1.97,0.04,,,,0
16,Câmbio,,2000-01-19,2000,1.96,1.94,0.09,,,,0
17,Câmbio,,2000-01-19,2001,1.97,1.97,0.04,,,,0
18,Câmbio,,2000-01-20,2000,1.96,1.95,0.09,,,,0
19,Câmbio,,2000-01-20,2001,1.97,1.97,0.04,,,,0
20,Câmbio,,2000-01-21,2000,1.96,1.94,0.09,,,,0
21,Câmbio,,2000-01-21,2001,1.97,1.97,0.04,,,,0
22,Câmbio,,2000-01-24,2000,1.96,1.94,0.09,,,,0
23,Câmbio,,2000-01-24,2001,1.97,1.97,0.04,,,,0
24,Câmbio,,2000-01-25,2000,1.96,1.94,0.09,,,,0
25,Câmbio,,2000-01-25,2001,1.97,1.97,0.04,,,,0
26,Câmbio,,2000-01-26,2000,1.96,1.94,0.09,,,,0
27,Câmbio,,2000-01-26,2001,1.97,1.97,0.04,,,,0
28,Câmbio,,2000-01-27,2000,1.96,1.94,0.09,,,,0
29,Câmbio,,2000-01-27,2001,1.97,1.97,0.04,,,,0
30,Câmbio,,2000-01-28,2000,1.96,1.94,0.09,,,,0
31,Câmbio,,2000-01-28,2001,1.97,1.97,0.04,,,,0
32,Câmbio,,2000-01-31,2000,1.96,1.94,0.09,,,,0
33,Câmbio,,2000-01-31,2001,2.03,2.0,0.11,,,,0
34,Câmbio,,2000-02-01,2000,1.96,1.94,0.09,,,,0
35,Câmbio,,2000-02-01,2001,2.03,2.0,0.11,,,,0
36,Câmbio,,2000-02-02,2000,1.96,1.94,0.09,,,,0
37,Câmbio,,2000-02-02,2001,2.03,2.0,0.11,,,,0
38,Câmbio,,2000-02-03,2000,1.96,1.94,0.1,,,,0
39,Câmbio,,2000-02-03,2001,2.03,2.0,0.11,,,,0
40,Câmbio,,2000-02-04,2000,1.96,1.94,0.1,,,,0
41,Câmbio,,2000-02-04,2001,2.03,2.0,0.11,,,,0
42,Câmbio,,2000-02-07,2000,1.96,1.94,0.1,,,,0
43,Câmbio,,2000-02-07,2001,2.03,2.0,0.11,,,,0
44,Câmbio,,2000-02-08,2000,1.96,1.94,0.1,,,,0
45,Câmbio,,2000-02-08,2001,2.03,2.0,0.11,,,,0
46,Câmbio,,2000-02-09,2000,1.96,1.94,0.1,,,,0
47,Câmbio,,2000-02-09,2001,2.03,2.0,0.11,,,,0
48,Câmbio,,2000-02-10,2000,1.96,1.94,0.1,,,,0
49,Câmbio,,2000-02-10,2001,2.03,2.0,0.11,,,,0
50,Câmbio,,2000-02-11,2000,1.95,1.93,0.1,,,,0
51,Câmbio,,2000-02-11,2001,2.0,1.97,0.09,,,,0
52,Câmbio,,2000-02-14,2000,1.95,1.93,0.1,,,,0
53,Câmbio,,2000-02-14,2001,2.01,2.0,0.09,,,,0
54,Câmbio,,2000-02-15,2000,1.95,1.93,0.1,,,,0
55,Câmbio,,2000-02-15,2001,2.01,2.0,0.09,,,,0
56,Câmbio,,2000-02-16,2000,1.94,1.93,0.11,,,,0
57,Câmbio,,2000-02-16,2001,1.98,1.97,0.11,,,,0
58,Câmbio,,2000-02-17,2000,1.94,1.93,0.11,,,,0
59,Câmbio,,2000-02-17,2001,1.98,1.97,0.11,,,,0
60,Câmbio,,2000-02-18,2000,1.94,1.93,0.11,,,,0
61,Câmbio,,2000-02-18,2001,1.98,1.94,0.11,,,,0
62,Câmbio,,2000-02-21,2000,1.94,1.93,0.11,,,,0
63,Câmbio,,2000-02-21,2001,1.98,1.94,0.11,,,,0
64,Câmbio,,2000-02-22,2000,1.94,1.93,0.11,,,,0
65,Câmbio,,2000-02-22,2001,1.98,1.94,0.11,,,,0
66,Câmbio,,2000-02-23,2000,1.94,1.93,0.11,,,,0
67,Câmbio,,2000-02-23,2001,1.98,1.94,0.11,,,,0
68,Câmbio,,2000-02-24,2000,1.94,1.93,0.11,,,,0
