,Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
0,IPCA,,2000-01-03,2000,7.0,7.0,0.8,,,,0
1,IPCA,,2000-01-04,2000,7.0,7.0,0.79,,,,0
2,IPCA,,2000-01-05,2000,6.97,7.0,0.76,,,,0
3,IPCA,,2000-01-06,2000,6.91,7.0,0.58,,,,0
4,IPCA,,2000-01-07,2000,6.91,7.0,0.58,,,,0
5,IPCA,,2000-01-10,2000,6.92,7.0,0.56,,,,0
6,IPCA,,2000-01-11,2000,7.15,7.0,0.7,,,,0
7,IPCA,,2000-01-12,2000,6.93,7.0,0.58,,,,0
8,IPCA,,2000-01-13,2000,6.93,7.0,0.58,,,,0
9,IPCA,,2000-01-13,2001,4.15,4.0,0.35,,,,0
10,IPCA,,2000-01-14,2000,6.93,7.0,0.58,,,,0
11,IPCA,,2000-01-14,2001,4.19,4.0,0.35,,,,0
12,IPCA,,2000-01-17,2000,6.94,6.98,0.57,,,,0
13,IPCA,,2000-01-17,2001,4.19,4.0,0.35,,,,0
14,IPCA,,2000-01-18,2000,6.93,6.94,0.57,,,,0
15,IPCA,,2000-01-18,2001,4.19,4.0,0.35,,,,0
16,IPCA,,2000-01-19,2000,6.9,6.94,0.53,,,,0
17,IPCA,,2000-01-19,2001,4.19,4.0,0.35,,,,0
18,IPCA,,2000-01-20,2000,6.9,6.95,0.53,,,,0
19,IPCA,,2000-01-20,2001,4.19,4.0,0.33,,,,0
20,IPCA,,2000-01-21,2000,6.89,6.94,0.51,,,,0
21,IPCA,,2000-01-21,2001,4.2,4.0,0.32,,,,0
22,IPCA,,2000-01-24,2000,6.89,6.94,0.51,,,,0
23,IPCA,,2000-01-24,2001,4.2,4.0,0.32,,,,0
24,IPCA,,2000-01-25,2000,6.89,6.94,0.51,,,,0
25,IPCA,,2000-01-25,2001,4.2,4.0,0.32,,,,0
26,IPCA,,2000-01-26,2000,6.89,6.94,0.51,,,,0
27,IPCA,,2000-01-26,2001,4.2,4.0,0.32,,,,0
28,IPCA,,2000-01-27,2000,6.9,6.98,0.51,,,,0
29,IPCA,,2000-01-27,2001,4.3,4.0,0.47,,,,0
30,IPCA,,2000-01-28,2000,6.92,6.98,0.53,,,,0
31,IPCA,,2000-01-28,2001,4.3,4.0,0.47,,,,0
32,IPCA,,2000-01-31,2000,6.91,6.94,0.51,,,,0
33,IPCA,,2000-01-31,2001,4.3,4.0,0.47,,,,0
34,IPCA,,2000-02-01,2000,6.91,6.94,0.51,,,,0
35,IPCA,,2000-02-01,2001,4.3,4.0,0.47,,,,0
36,IPCA,,2000-02-02,2000,6.89,6.94,0.49,,,,0
37,IPCA,,2000-02-02,2001,4.3,4.0,0.47,,,,0
38,IPCA,,2000-02-03,2000,6.88,6.94,0.48,,,,0
39,IPCA,,2000-02-03,2001,4.3,4.0,0.47,,,,0
40,IPCA,,2000-02-04,2000,6.88,6.93,0.48,,,,0
41,IPCA,,2000-02-04,2001,4.44,4.1,0.68,,,,0
42,IPCA,,2000-02-07,2000,6.88,6.93,0.48,,,,0
43,IPCA,,2000-02-07,2001,4.47,4.2,0.67,,,,0
44,IPCA,,2000-02-08,2000,6.88,6.93,0.47,,,,0
45,IPCA,,2000-02-08,2001,4.47,4.2,0.67,,,,0
46,IPCA,,2000-02-09,2000,6.88,6.97,0.48,,,,0
47,IPCA,,2000-02-09,2001,4.58,4.2,0.78,,,,0
48,IPCA,,2000-02-10,2000,6.88,6.97,0.48,,,,0
49,IPCA,,2000-02-10,2001,4.58,4.2,0.78,,,,0
50,IPCA,,2000-02-11,2000,6.87,6.91,0.48,,,,0
51,IPCA,,2000-02-11,2001,4.58,4.2,0.78,,,,0
52,IPCA,,2000-02-14,2000,6.86,6.88,0.46,,,,0
53,IPCA,,2000-02-14,2001,4.58,4.2,0.78,,,,0
54,IPCA,,2000-02-15,2000,6.86,6.88,0.46,,,,0
55,IPCA,,2000-02-15,2001,4.58,4.2,0.78,,,,0
56,IPCA,,2000-02-16,2000,6.83,6.88,0.42,,,,0
57,IPCA,,2000-02-16,2001,4.58,4.2,0.78,,,,0
58,IPCA,,2000-02-17,2000,6.83,6.88,0.42,,,,0
59,IPCA,,2000-02-17,2001,4.58,4.2,0.78,,,,0
