,Indicador,IndicadorDetalhe,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
0,Selic,,2000-01-03,2000,16.83,16.65,1.58,,,,0
1,Selic,,2000-01-04,2000,16.83,16.65,1.58,,,,0
2,Selic,,2000-01-05,2000,16.88,16.8,1.57,,,,0
3,Selic,,2000-01-06,2000,16.73,16.8,1.17,,,,0
4,Selic,,2000-01-07,2000,16.73,16.8,1.17,,,,0
5,Selic,,2000-01-10,2000,16.73,16.8,1.17,,,,0
6,Selic,,2000-01-11,2000,16.77,16.95,1.19,,,,0
7,Selic,,2000-01-12,2000,16.77,16.95,1.19,,,,0
8,Selic,,2000-01-13,2000,16.78,16.95,1.19,,,,0
9,Selic,,2000-01-14,2000,16.79,17.05,1.17,,,,0
10,Selic,,2000-01-17,2000,16.79,17.05,1.17,,,,0
11,Selic,,2000-01-18,2000,16.79,17.05,1.17,,,,0
12,Selic,,2000-01-19,2000,16.79,17.05,1.17,,,,0
13,Selic,,2000-01-20,2000,16.84,17.15,1.16,,,,0
14,Selic,,2000-01-20,2001,14.75,15.0,0.51,,,,0
15,Selic,,2000-01-21,2000,16.85,17.15,1.15,,,,0
16,Selic,,2000-01-21,2001,14.75,15.0,0.51,,,,0
17,Selic,,2000-01-24,2000,16.85,17.15,1.15,,,,0
18,Selic,,2000-01-24,2001,14.75,15.0,0.51,,,,0
19,Selic,,2000-01-25,2000,16.85,17.15,1.15,,,,0
20,Selic,,2000-01-25,2001,14.75,15.0,0.51,,,,0
21,Selic,,2000-01-26,2000,16.85,17.15,1.15,,,,0
22,Selic,,2000-01-26,2001,14.75,15.0,0.51,,,,0
23,Selic,,2000-01-27,2000,16.85,17.15,1.15,,,,0
24,Selic,,2000-01-27,2001,14.75,15.0,0.51,,,,0
25,Selic,,2000-01-28,2000,16.85,17.15,1.15,,,,0
26,Selic,,2000-01-28,2001,14.75,15.0,0.51,,,,0
27,Selic,,2000-01-31,2000,16.86,17.15,1.15,,,,0
28,Selic,,2000-01-31,2001,14.75,15.0,0.51,,,,0
29,Selic,,2000-02-01,2000,16.86,17.15,1.15,,,,0
30,Selic,,2000-02-01,2001,14.75,15.0,0.51,,,,0
31,Selic,,2000-02-02,2000,16.86,17.15,1.15,,,,0
32,Selic,,2000-02-02,2001,14.75,15.0,0.51,,,,0
33,Selic,,2000-02-03,2000,16.86,17.15,1.15,,,,0
34,Selic,,2000-02-03,2001,14.75,15.0,0.51,,,,0
35,Selic,,2000-02-04,2000,16.87,17.15,1.17,,,,0
36,Selic,,2000-02-04,2001,14.75,15.0,0.51,,,,0
37,Selic,,2000-02-07,2000,16.87,17.15,1.17,,,,0
38,Selic,,2000-02-07,2001,14.75,15.0,0.51,,,,0
39,Selic,,2000-02-08,2000,16.87,17.15,1.17,,,,0
40,Selic,,2000-02-08,2001,14.75,15.0,0.51,,,,0
41,Selic,,2000-02-09,2000,16.87,17.15,1.17,,,,0
42,Selic,,2000-02-09,2001,14.0,15.0,1.73,,,,0
43,Selic,,2000-02-10,2000,16.87,17.15,1.17,,,,0
44,Selic,,2000-02-10,2001,14.0,15.0,1.73,,,,0
45,Selic,,2000-02-11,2000,16.91,17.2,1.18,,,,0
46,Selic,,2000-02-11,2001,14.15,14.95,1.59,,,,0
47,Selic,,2000-02-14,2000,16.91,17.2,1.18,,,,0
48,Selic,,2000-02-14,2001,14.63,15.0,1.93,,,,0
49,Selic,,2000-02-15,2000,16.92,17.2,1.18,,,,0
50,Selic,,2000-02-15,2001,14.63,15.0,1.93,,,,0
51,Selic,,2000-02-16,2000,17.0,17.33,1.15,,,,0
52,Selic,,2000-02-16,2001,14.6,14.95,1.79,,,,0
53,Selic,,2000-02-17,2000,17.0,17.33,1.15,,,,0
54,Selic,,2000-02-17,2001,14.6,14.95,1.79,,,,0
55,Selic,,2000-02-18,2000,17.0,17.33,1.15,,,,0
56,Selic,,2000-02-18,2001,14.58,14.9,1.67,,,,0
57,Selic,,2000-02-21,2000,17.0,17.33,1.15,,,,0
58,Selic,,2000-02-21,2001,14.58,14.9,1.67,,,,0
59,Selic,,2000-02-22,2000,17.0,17.33,1.15,,,,0
60,Selic,,2000-02-22,2001,14.58,14.9,1.67,,,,0
61,Selic,,2000-02-23,2000,17.0,17.33,1.15,,,,0
62,Selic,,2000-02-23,2001,14.58,14.9,1.67,,,,0
63,Selic,,2000-02-24,2000,17.0,17.33,1.15,,,,0
64,Selic,,2000-02-24,2001,14.58,14.9,1.67,,,,0
65,Selic,,2000-02-25,2000,17.0,17.33,1.15,,,,0
66,Selic,,2000-02-25,2001,14.58,14.9,1.67,,,,0
67,Selic,,2000-02-28,2000,17.0,17.33,1.15,,,,0
68,Selic,,2000-02-28,2001,14.58,14.9,1.67,,,,0
69,Selic,,2000-02-29,2000,17.0,17.33,1.15,,,,0
70,Selic,,2000-02-29,2001,14.58,14.9,1.67,,,,0
71,Selic,,2000-03-01,2000,17.0,17.33,1.15,,,,0
72,Selic,,2000-03-01,2001,14.58,14.9,1.67,,,,0
73,Selic,,2000-03-02,2000,17.02,17.35,1.17,,,,0
74,Selic,,2000-03-02,2001,14.69,14.95,1.62,,,,0
75,Selic,,2000-03-03,2000,17.02,17.35,1.17,,,,0
76,Selic,,2000-03-03,2001,14.69,14.95,1.62,,,,0
77,Selic,,2000-03-08,2000,17.02,17.35,1.17,,,,0
78,Selic,,2000-03-08,2001,14.69,14.95,1.62,,,,0
79,Selic,,2000-03-09,2000,17.02,17.35,1.17,,,,0
80,Selic,,2000-03-09,2001,14.68,14.9,1.53,,,,0
81,Selic,,2000-03-10,2000,17.02,17.35,1.17,,,,0
82,Selic,,2000-03-10,2001,14.68,14.9,1.53,,,,0
83,Selic,,2000-03-13,2000,17.02,17.35,1.17,,,,0
84,Selic,,2000-03-13,2001,14.68,14.9,1.53,,,,0
85,Selic,,2000-03-14,2000,17.02,17.35,1.17,,,,0
86,Selic,,2000-03-14,2001,14.68,14.9,1.53,,,,0
87,Selic,,2000-03-15,2000,17.02,17.35,1.17,,,,0
88,Selic,,2000-03-15,2001,14.68,14.9,1.53,,,,0
89,Selic,,2000-03-16,2000,17.0,17.35,1.16,,,,0
90,Selic,,2000-03-16,2001,14.68,14.9,1.53,,,,0
91,Selic,,2000-03-17,2000,17.0,17.35,1.16,,,,0
92,Selic,,2000-03-17,2001,14.68,14.9,1.53,,,,0
93,Selic,,2000-03-20,2000,17.0,17.35,1.16,,,,0
94,Selic,,2000-03-20,2001,14.68,14.9,1.53,,,,0
95,Selic,,2000-03-21,2000,17.02,17.38,1.14,,,,0
96,Selic,,2000-03-21,2001,14.71,14.95,1.47,,,,0
97,Selic,,2000-03-22,2000,17.02,17.38,1.14,,,,0
98,Selic,,2000-03-22,2001,14.71,14.95,1.47,,,,0
99,Selic,,2000-03-23,2000,17.0,17.35,1.13,,,,0
100,Selic,,2000-03-23,2001,14.73,15.0,1.41,,,,0
101,Selic,,2000-03-24,2000,17.0,17.35,1.13,,,,0
102,Selic,,2000-03-24,2001,14.73,15.0,1.41,,,,0
103,Selic,,2000-03-27,2000,17.0,17.35,1.13,,,,0
104,Selic,,2000-03-27,2001,14.73,15.0,1.41,,,,0
105,Selic,,2000-03-28,2000,17.0,17.35,1.13,,,,0
106,Selic,,2000-03-28,2001,14.73,15.0,1.41,,,,0
107,Selic,,2000-03-29,2000,17.0,17.35,1.13,,,,0
108,Selic,,2000-03-29,2001,14.73,15.0,1.41,,,,0
109,Selic,,2000-03-30,2000,17.0,17.35,1.13,,,,0
110,Selic,,2000-03-30,2001,14.73,15.0,1.41,,,,0
111,Selic,,2000-03-31,2000,17.04,17.4,1.12,,,,0
112,Selic,,2000-03-31,2001,14.97,15.0,0.89,,,,0
113,Selic,,2000-04-03,2000,17.04,17.4,1.12,,,,0
114,Selic,,2000-04-03,2001,14.97,15.0,0.89,,,,0
115,Selic,,2000-04-04,2000,17.04,17.4,1.12,,,,0
116,Selic,,2000-04-04,2001,14.95,15.0,0.87,,,,0
117,Selic,,2000-04-05,2000,17.04,17.4,1.12,,,,0
118,Selic,,2000-04-05,2001,14.95,15.0,0.87,,,,0
119,Selic,,2000-04-06,2000,17.04,17.4,1.12,,,,0
120,Selic,,2000-04-06,2001,14.95,15.0,0.87,,,,0
121,Selic,,2000-04-07,2000,17.03,17.38,1.11,,,,0
122,Selic,,2000-04-07,2001,14.84,14.95,0.93,,,,0
123,Selic,,2000-04-10,2000,17.03,17.38,1.11,,,,0
124,Selic,,2000-04-10,2001,14.84,14.95,0.93,,,,0
125,Selic,,2000-04-11,2000,17.03,17.38,1.11,,,,0
126,Selic,,2000-04-11,2001,14.84,14.95,0.93,,,,0
127,Selic,,2000-04-12,2000,17.03,17.38,1.11,,,,0
128,Selic,,2000-04-12,2001,14.84,14.95,0.93,,,,0
129,Selic,,2000-04-13,2000,17.03,17.38,1.11,,,,0
130,Selic,,2000-04-13,2001,14.84,14.95,0.93,,,,0
131,Selic,,2000-04-14,2000,17.03,17.38,1.11,,,,0
132,Selic,,2000-04-14,2001,14.84,14.95,0.93,,,,0
133,Selic,,2000-04-17,2000,17.03,17.38,1.11,,,,0
134,Selic,,2000-04-17,2001,14.84,14.95,0.93,,,,0
135,Selic,,2000-04-18,2000,17.03,17.38,1.11,,,,0
136,Selic,,2000-04-18,2001,14.84,14.95,0.93,,,,0
137,Selic,,2000-04-19,2000,17.03,17.38,1.11,,,,0
138,Selic,,2000-04-19,2001,14.84,14.95,0.93,,,,0
139,Selic,,2000-04-20,2000,17.03,17.38,1.11,,,,0
140,Selic,,2000-04-20,2001,14.84,14.95,0.93,,,,0
141,Selic,,2000-04-24,2000,17.03,17.38,1.11,,,,0
142,Selic,,2000-04-24,2001,14.84,14.95,0.93,,,,0
143,Selic,,2000-04-25,2000,17.0,17.28,1.09,,,,0
144,Selic,,2000-04-25,2001,14.74,14.95,1.05,,,,0
145,Selic,,2000-04-26,2000,17.02,17.38,1.1,,,,0
146,Selic,,2000-04-26,2001,14.82,15.0,1.06,,,,0
147,Selic,,2000-04-27,2000,17.03,17.38,1.11,,,,0
148,Selic,,2000-04-27,2001,14.82,15.0,1.06,,,,0
149,Selic,,2000-04-28,2000,17.05,17.38,1.1,,,,0
150,Selic,,2000-04-28,2001,14.78,14.9,1.06,,,,0
151,Selic,,2000-05-02,2000,17.05,17.38,1.1,,,,0
152,Selic,,2000-05-02,2001,14.78,14.9,1.06,,,,0
153,Selic,,2000-05-03,2000,16.99,17.38,1.15,,,,0
154,Selic,,2000-05-03,2001,14.7,14.76,1.1,,,,0
155,Selic,,2000-05-04,2000,16.99,17.38,1.15,,,,0
156,Selic,,2000-05-04,2001,14.7,14.76,1.1,,,,0
157,Selic,,2000-05-05,2000,17.08,17.5,1.1,,,,0
158,Selic,,2000-05-05,2001,14.65,14.56,1.05,,,,0
159,Selic,,2000-05-08,2000,17.08,17.5,1.1,,,,0
160,Selic,,2000-05-08,2001,14.65,14.56,1.05,,,,0
161,Selic,,2000-05-09,2000,17.08,17.5,1.1,,,,0
162,Selic,,2000-05-09,2001,14.65,14.56,1.05,,,,0
163,Selic,,2000-05-10,2000,17.08,17.5,1.1,,,,0
164,Selic,,2000-05-10,2001,14.65,14.56,1.05,,,,0
165,Selic,,2000-05-11,2000,17.08,17.5,1.1,,,,0
166,Selic,,2000-05-11,2001,14.65,14.56,1.05,,,,0
167,Selic,,2000-05-12,2000,17.08,17.5,1.1,,,,0
168,Selic,,2000-05-12,2001,14.65,14.56,1.05,,,,0
169,Selic,,2000-05-15,2000,17.08,17.5,1.1,,,,0
170,Selic,,2000-05-15,2001,14.65,14.56,1.05,,,,0
171,Selic,,2000-05-16,2000,17.08,17.5,1.1,,,,0
172,Selic,,2000-05-16,2001,14.65,14.56,1.05,,,,0
173,Selic,,2000-05-17,2000,17.08,17.5,1.1,,,,0
174,Selic,,2000-05-17,2001,14.65,14.56,1.05,,,,0
175,Selic,,2000-05-18,2000,17.08,17.5,1.1,,,,0
176,Selic,,2000-05-18,2001,14.65,14.56,1.05,,,,0
177,Selic,,2000-05-19,2000,17.18,17.5,1.06,,,,0
178,Selic,,2000-05-19,2001,14.62,14.5,1.08,,,,0
179,Selic,,2000-05-22,2000,17.13,17.5,1.1,,,,0
180,Selic,,2000-05-22,2001,14.61,14.5,1.07,,,,0
181,Selic,,2000-05-23,2000,17.13,17.5,1.1,,,,0
182,Selic,,2000-05-23,2001,14.61,14.5,1.07,,,,0
183,Selic,,2000-05-24,2000,17.13,17.5,1.1,,,,0
184,Selic,,2000-05-24,2001,14.61,14.5,1.07,,,,0
185,Selic,,2000-05-25,2000,17.13,17.5,1.1,,,,0
186,Selic,,2000-05-25,2001,14.61,14.5,1.07,,,,0
187,Selic,,2000-05-26,2000,17.14,17.5,1.11,,,,0
188,Selic,,2000-05-26,2001,14.63,14.56,1.04,,,,0
189,Selic,,2000-05-29,2000,17.15,17.5,1.11,,,,0
190,Selic,,2000-05-29,2001,14.65,14.62,1.01,,,,0
191,Selic,,2000-05-30,2000,17.16,17.5,1.12,,,,0
192,Selic,,2000-05-30,2001,14.65,14.62,1.01,,,,0
193,Selic,,2000-05-31,2000,17.16,17.5,1.12,,,,0
194,Selic,,2000-05-31,2001,14.65,14.62,1.01,,,,0
195,Selic,,2000-06-01,2000,17.19,17.5,1.15,,,,0
196,Selic,,2000-06-01,2001,14.68,14.9,0.99,,,,0
197,Selic,,2000-06-02,2000,17.19,17.5,1.15,,,,0
198,Selic,,2000-06-02,2001,14.68,14.9,0.99,,,,0
199,Selic,,2000-06-05,2000,17.21,17.5,1.15,,,,0
200,Selic,,2000-06-05,2001,14.69,14.9,0.97,,,,0
201,Selic,,2000-06-06,2000,17.17,17.5,1.13,,,,0
202,Selic,,2000-06-06,2001,14.69,14.9,0.97,,,,0
203,Selic,,2000-06-07,2000,17.17,17.5,1.13,,,,0
204,Selic,,2000-06-07,2001,14.69,14.9,0.97,,,,0
205,Selic,,2000-06-08,2000,17.17,17.5,1.13,,,,0
206,Selic,,2000-06-08,2001,14.69,14.9,0.97,,,,0
207,Selic,,2000-06-09,2000,17.17,17.5,1.13,,,,0
208,Selic,,2000-06-09,2001,14.69,14.9,0.97,,,,0
209,Selic,,2000-06-12,2000,17.17,17.5,1.13,,,,0
210,Selic,,2000-06-12,2001,14.69,14.9,0.97,,,,0
211,Selic,,2000-06-13,2000,17.17,17.5,1.13,,,,0
212,Selic,,2000-06-13,2001,14.69,14.9,0.97,,,,0
