,Indicador,Data,Reuniao,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
0,Selic,2024-08-09,R5/2026,9.4534,9.5,0.8642,7.5,12.0,59.0,0
1,Selic,2024-08-09,R4/2026,9.5338,9.5,0.8579,7.5,12.5,111.0,0
2,Selic,2024-08-09,R3/2026,9.6157,9.5,0.8455,7.5,12.5,121.0,0
3,Selic,2024-08-09,R2/2026,9.7004,9.5,0.8538,7.5,12.5,121.0,0
4,Selic,2024-08-09,R1/2026,9.7984,9.5,0.9112,7.5,12.5,124.0,0
5,Selic,2024-08-09,R8/2025,9.9283,9.75,0.8912,7.5,12.5,143.0,0
6,Selic,2024-08-09,R7/2025,10.0144,9.75,0.8716,8.0,12.5,139.0,0
7,Selic,2024-08-09,R6/2025,10.1043,10.0,0.8385,8.5,12.5,139.0,0
8,Selic,2024-08-09,R5/2025,10.2086,10.25,0.776,8.75,12.5,139.0,0
9,Selic,2024-08-09,R4/2025,10.3183,10.5,0.707,9.0,12.5,139.0,0
10,Selic,2024-08-09,R3/2025,10.4245,10.5,0.6345,9.0,12.5,139.0,0
11,Selic,2024-08-09,R2/2025,10.5,10.5,0.5538,9.0,12.5,139.0,0
12,Selic,2024-08-09,R1/2025,10.5647,10.5,0.4697,9.5,12.5,139.0,0
13,Selic,2024-08-09,R8/2024,10.5908,10.5,0.3423,10.0,12.0,146.0,0
14,Selic,2024-08-09,R7/2024,10.5687,10.5,0.2163,10.25,11.5,142.0,0
15,Selic,2024-08-09,R6/2024,10.5282,10.5,0.0895,10.5,11.0,142.0,0
16,Selic,2024-08-08,R5/2026,9.3047,9.0,0.7997,8.0,12.0,32.0,0
17,Selic,2024-08-08,R4/2026,9.4817,9.5,0.8341,7.5,12.5,109.0,0
18,Selic,2024-08-08,R3/2026,9.5723,9.5,0.8235,7.5,12.5,121.0,0
19,Selic,2024-08-08,R2/2026,9.6488,9.5,0.8311,7.5,12.5,121.0,0
20,Selic,2024-08-08,R1/2026,9.7193,9.5,0.8557,7.5,12.5,122.0,0
21,Selic,2024-08-08,R8/2025,9.8617,9.75,0.8455,7.5,12.5,141.0,0
22,Selic,2024-08-08,R7/2025,9.9416,9.75,0.8263,7.5,12.5,137.0,0
23,Selic,2024-08-08,R6/2025,10.0237,10.0,0.7974,7.5,12.5,137.0,0
24,Selic,2024-08-08,R5/2025,10.1296,10.25,0.7313,8.0,12.5,137.0,0
25,Selic,2024-08-08,R4/2025,10.2409,10.5,0.6509,8.5,12.5,137.0,0
26,Selic,2024-08-08,R3/2025,10.3558,10.5,0.5616,9.0,12.5,137.0,0
27,Selic,2024-08-08,R2/2025,10.4398,10.5,0.4506,9.5,12.0,137.0,0
28,Selic,2024-08-08,R1/2025,10.5109,10.5,0.356,9.75,12.0,137.0,0
29,Selic,2024-08-08,R8/2024,10.5503,10.5,0.251,10.0,11.75,144.0,0
30,Selic,2024-08-08,R7/2024,10.5301,10.5,0.138,10.25,11.25,141.0,0
31,Selic,2024-08-08,R6/2024,10.5124,10.5,0.0543,10.5,10.75,141.0,0
32,Selic,2024-08-07,R5/2026,9.3056,9.0,0.8203,8.0,12.0,27.0,0
33,Selic,2024-08-07,R4/2026,9.486,9.5,0.8406,7.5,12.5,107.0,0
34,Selic,2024-08-07,R3/2026,9.5735,9.5,0.8278,7.5,12.5,119.0,0
