,Indicador,Data,DataReferencia,Media,Mediana,DesvioPadrao,Minimo,Maximo,numeroRespondentes,baseCalculo
0,PIB Total,2001-11-06,3/2001,0.84,0.74,0.69,-0.5,2.0,,0
1,PIB Total,2001-11-06,4/2001,0.32,0.5,1.16,-2.4,1.83,,0
2,PIB Total,2001-11-06,1/2002,-0.13,0.34,1.61,-3.74,1.5,,0
3,PIB Total,2001-11-06,2/2002,1.14,1.35,1.09,-0.2,3.3,,0
4,PIB Total,2001-11-06,3/2002,2.7,2.48,1.21,1.61,4.0,,0
5,PIB Total,2001-11-07,3/2001,0.77,0.7,0.63,-0.5,2.0,,0
6,PIB Total,2001-11-07,4/2001,0.36,0.5,1.11,-2.4,1.83,,0
7,PIB Total,2001-11-07,1/2002,-0.17,0.34,1.59,-3.74,1.5,,0
8,PIB Total,2001-11-07,2/2002,1.11,1.16,0.97,-0.2,3.3,,0
9,PIB Total,2001-11-07,3/2002,2.2,2.0,0.99,1.12,4.0,,0
10,PIB Total,2001-11-08,3/2001,0.7,0.67,0.6,-0.5,2.0,,0
11,PIB Total,2001-11-08,4/2001,0.28,0.42,1.11,-2.4,1.83,,0
12,PIB Total,2001-11-08,1/2002,-0.46,0.12,1.56,-3.74,1.5,,0
13,PIB Total,2001-11-08,2/2002,0.96,1.09,0.97,-0.4,3.3,,0
14,PIB Total,2001-11-08,3/2002,2.45,2.1,1.01,1.12,4.0,,0
15,PIB Total,2001-11-09,3/2001,0.59,0.67,0.8,-2.0,2.0,,0
16,PIB Total,2001-11-09,4/2001,0.32,0.5,1.13,-2.4,1.85,,0
17,PIB Total,2001-11-09,1/2002,-0.46,0.12,1.55,-3.74,1.5,,0
18,PIB Total,2001-11-09,2/2002,0.97,1.09,0.96,-0.4,3.3,,0
19,PIB Total,2001-11-09,3/2002,2.46,2.1,1.0,1.12,4.0,,0
20,PIB Total,2001-11-12,3/2001,0.64,0.67,0.85,-2.0,2.7,,0
21,PIB Total,2001-11-12,4/2001,0.26,0.34,1.16,-2.4,1.9,,0
22,PIB Total,2001-11-12,1/2002,-0.39,0.12,1.65,-3.74,2.9,,0
23,PIB Total,2001-11-12,2/2002,0.97,1.15,0.92,-0.4,3.3,,0
24,PIB Total,2001-11-12,3/2002,2.22,2.1,1.15,0.0,4.0,,0
