Data,t0,t1,t2,t3
2014-01-02,66.0,55.0,49.0,43.5
2014-01-03,68.0,55.0,49.0,42.5
2014-01-06,69.5,56.0,51.0,44.0
2014-01-07,67.0,53.5,48.5,41.5
2014-01-08,69.0,55.0,50.0,43.0
2014-01-09,69.5,55.5,51.5,45.0
2014-01-10,70.0,56.0,51.5,45.5
2014-01-13,72.0,59.0,54.0,47.5
2014-01-14,76.0,63.0,57.5,51.0
2014-01-15,80.5,65.5,59.5,53.0
2014-01-16,83.0,67.0,61.0,54.5
2014-01-17,85.5,67.5,62.5,56.0
2014-01-20,82.5,68.5,61.0,55.5
2014-01-21,83.0,70.0,62.0,56.5
2014-01-22,97.5,84.0,72.5,66.5
2014-01-23,98.0,85.0,73.5,67.5
2014-01-24,97.5,84.5,72.0,66.0
2014-01-27,92.0,78.5,67.5,61.5
2014-01-28,91.5,77.5,66.5,60.5
2014-01-29,76.0,63.5,53.5,48.5
2014-01-30,74.0,62.0,51.5,47.0
2014-01-31,75.0,63.0,54.0,49.5
2014-02-03,75.0,63.5,54.0,50.0
2014-02-04,74.0,63.0,53.5,50.0
2014-02-05,72.0,62.0,51.0,47.5
2014-02-06,71.5,60.0,49.5,47.0
2014-02-07,72.0,61.0,50.5,48.0
2014-02-10,75.0,64.5,54.0,51.0
2014-02-11,76.0,65.5,56.0,53.0
2014-02-12,77.5,66.0,57.0,54.0
2014-02-13,77.5,65.0,56.5,53.5
2014-02-14,80.5,67.5,57.5,54.5
2014-02-17,76.5,67.0,55.5,52.5
2014-02-18,83.0,71.0,59.0,55.5
2014-02-19,84.5,73.0,61.5,58.0
2014-02-20,98.0,85.0,71.5,67.0
2014-02-21,96.0,83.5,70.0,65.5
2014-02-24,93.0,80.5,68.0,63.5
2014-02-25,89.0,78.0,64.5,60.0
2014-02-26,90.0,77.0,63.5,59.0
2014-02-27,71.5,59.5,48.0,44.5
2014-02-28,74.5,63.0,52.0,48.5
2014-03-05,72.0,61.5,51.5,48.0
2014-03-06,72.5,62.5,53.5,50.0
2014-03-07,73.0,64.0,54.5,51.0
2014-03-10,73.5,64.5,53.5,50.0
2014-03-11,75.5,66.0,55.0,51.5
2014-03-12,78.0,68.5,57.0,53.5
2014-03-13,78.0,68.0,55.5,52.5
2014-03-14,82.0,72.0,58.5,55.5
2014-03-17,85.5,74.5,62.0,60.0
2014-03-18,89.0,77.5,64.0,61.5
2014-03-19,88.5,76.0,62.5,60.0
2014-03-20,99.0,86.5,71.0,67.0
2014-03-21,100.5,89.0,73.0,69.0
2014-03-24,99.5,88.5,71.0,67.0
2014-03-25,98.0,87.5,71.0,67.0
2014-03-26,97.0,86.0,71.0,67.0
2014-03-27,73.5,63.5,52.0,48.5
2014-03-28,70.5,61.0,50.5,47.5
2014-03-31,70.0,63.0,54.0,50.5
2014-04-01,71.5,63.5,54.5,51.0
2014-04-02,70.0,63.0,53.0,49.5
2014-04-03,74.0,65.0,56.5,52.0
2014-04-04,76.0,67.0,58.5,54.0
2014-04-07,75.0,65.0,55.5,52.0
2014-04-08,78.0,68.5,59.0,54.5
2014-04-09,81.0,71.5,62.0,56.5
2014-04-10,83.5,74.0,63.0,56.5
2014-04-11,86.0,77.0,64.0,58.0
2014-04-14,85.5,76.5,64.0,58.0
2014-04-15,90.5,80.0,66.0,61.0
2014-04-16,97.5,87.5,71.5,66.0
2014-04-17,95.5,86.0,71.0,66.5
2014-04-22,91.5,83.0,67.5,63.0
2014-04-23,90.5,83.0,67.5,63.0
2014-04-24,89.5,83.0,67.5,63.0
2014-04-25,66.5,60.0,48.0,44.0
2014-04-28,63.5,57.0,45.0,41.0
2014-04-29,63.5,56.0,46.5,42.5
2014-04-30,68.0,60.0,50.5,46.0
2014-05-02,69.5,61.5,51.0,46.5
2014-05-05,71.0,63.0,53.0,48.5
2014-05-06,72.0,63.5,53.5,48.5
2014-05-07,73.0,65.0,54.0,49.0
2014-05-08,72.5,65.0,54.5,50.5
2014-05-09,77.5,68.0,58.0,53.5
2014-05-12,74.0,65.5,56.5,52.5
2014-05-13,76.0,66.5,58.0,53.5
2014-05-14,77.0,66.5,57.0,53.0
2014-05-15,76.5,66.5,55.5,52.5
2014-05-16,75.0,66.0,54.5,51.5
2014-05-19,75.0,65.0,52.5,50.0
2014-05-20,96.0,87.0,72.5,69.5
2014-05-21,98.0,88.5,74.0,71.0
2014-05-22,98.5,89.0,74.0,71.0
2014-05-23,99.0,89.5,74.0,71.0
2014-05-26,95.5,87.0,72.5,70.0
2014-05-27,71.5,62.5,51.5,49.0
2014-05-28,68.0,59.0,49.5,46.5
2014-05-29,68.5,60.0,50.5,48.0
2014-05-30,69.5,60.5,51.0,48.0
2014-06-02,72.5,62.5,52.5,49.0
2014-06-03,74.5,65.0,55.0,51.5
2014-06-04,74.0,64.5,54.5,51.0
2014-06-05,74.5,64.5,56.0,51.5
2014-06-06,75.0,65.0,56.0,51.5
2014-06-09,75.5,66.5,55.5,52.5
2014-06-10,75.0,67.0,55.0,51.0
2014-06-11,75.5,68.0,55.5,51.5
2014-06-12,74.5,67.0,54.5,50.5
2014-06-13,71.0,65.5,53.5,50.0
2014-06-16,74.5,66.5,56.5,53.5
2014-06-17,91.0,83.0,70.5,67.0
2014-06-18,93.0,85.0,72.0,68.5
2014-06-20,95.0,84.0,73.0,69.5
2014-06-23,94.5,82.5,71.5,68.0
2014-06-24,90.0,78.5,66.5,63.0
2014-06-25,69.0,58.0,49.5,46.5
2014-06-26,66.0,55.0,47.0,44.5
2014-06-27,65.5,57.0,47.5,45.0
2014-06-30,67.5,58.5,50.5,47.0
2014-07-01,68.0,59.5,52.0,48.0
2014-07-02,71.0,62.5,54.5,50.5
2014-07-03,72.5,63.5,55.0,51.0
2014-07-04,72.5,63.5,55.0,51.0
2014-07-07,70.0,64.0,55.5,52.5
2014-07-08,76.5,69.5,60.5,57.0
2014-07-09,75.5,68.5,60.5,57.0
2014-07-10,75.0,68.5,59.5,55.5
2014-07-11,76.5,69.0,60.0,56.0
2014-07-14,78.0,70.5,60.5,56.5
2014-07-15,73.0,66.5,57.0,53.5
2014-07-16,75.5,67.5,58.0,54.5
2014-07-17,79.5,71.5,63.0,59.5
2014-07-18,77.5,70.5,62.5,59.5
2014-07-21,92.0,82.5,71.5,67.5
2014-07-22,94.0,83.5,72.0,68.0
2014-07-23,94.5,84.0,72.5,68.5
2014-07-24,94.0,84.0,73.0,68.0
2014-07-25,93.5,82.0,73.0,68.0
2014-07-28,73.0,64.0,56.0,52.0
2014-07-29,69.5,60.5,53.0,49.0
