Data,t0,t1,t2,t3
2014-01-02,68.0,54.0,42.0,39.0
2014-01-03,69.0,55.0,42.0,39.0
2014-01-06,65.0,52.0,41.0,38.0
2014-01-07,66.0,53.0,42.0,39.0
2014-01-08,67.0,54.0,43.0,40.0
2014-01-09,66.0,54.0,43.0,41.0
2014-01-10,66.0,54.0,43.0,41.0
2014-01-13,63.0,53.0,41.0,39.0
2014-01-14,67.0,56.0,43.0,41.0
2014-01-15,69.0,59.0,45.0,43.0
2014-01-16,68.0,59.0,45.0,43.0
2014-01-17,70.0,59.0,45.0,43.0
2014-01-20,67.0,57.0,43.0,41.0
2014-01-21,68.0,58.0,43.0,41.0
2014-01-22,72.0,60.0,44.0,43.0
2014-01-23,72.0,60.0,44.0,43.0
2014-01-24,73.0,61.0,45.0,44.0
2014-01-27,69.0,57.0,41.0,40.0
2014-01-28,69.0,57.0,41.0,40.0
2014-01-29,70.0,58.0,42.0,41.0
2014-01-30,70.0,58.0,42.0,41.0
2014-01-31,72.0,61.0,45.0,43.0
2014-02-03,71.0,59.0,44.0,42.0
2014-02-04,71.0,59.0,44.0,42.0
2014-02-05,72.0,60.0,45.0,43.0
2014-02-06,73.0,61.0,46.0,44.0
2014-02-07,72.0,60.0,45.0,43.0
2014-02-10,68.0,56.0,41.0,39.0
2014-02-11,69.0,57.0,42.0,40.0
2014-02-12,71.0,59.0,43.0,41.0
2014-02-13,69.0,57.0,41.0,39.0
2014-02-14,72.0,59.0,43.0,41.0
2014-02-17,71.0,59.0,42.0,40.0
2014-02-18,75.0,63.0,46.0,44.0
2014-02-19,75.0,63.0,46.0,44.0
2014-02-20,77.0,64.0,48.0,46.0
2014-02-21,77.0,64.0,48.0,46.0
2014-02-24,73.0,62.0,46.0,44.0
2014-02-25,73.0,62.0,46.0,44.0
2014-02-26,75.0,62.0,46.0,44.0
2014-02-27,78.0,65.0,48.0,46.0
2014-02-28,79.0,67.0,48.0,46.0
2014-03-05,75.0,63.0,44.0,42.0
2014-03-06,75.0,64.0,45.0,42.0
2014-03-07,76.0,65.0,46.0,43.0
2014-03-10,76.0,65.0,47.0,44.0
2014-03-11,77.0,65.0,48.0,45.0
2014-03-12,77.0,65.0,48.0,45.0
2014-03-13,72.0,60.0,45.0,42.0
2014-03-14,73.0,61.0,46.0,43.0
2014-03-17,67.0,56.0,42.0,39.0
2014-03-18,69.0,57.0,42.0,39.0
2014-03-19,70.0,58.0,42.0,39.0
2014-03-20,74.0,62.0,45.0,43.0
2014-03-21,71.0,59.0,42.0,40.0
2014-03-24,69.0,59.0,42.0,40.0
2014-03-25,70.0,60.0,43.0,41.0
2014-03-26,70.0,61.0,44.0,41.0
2014-03-27,70.0,61.0,44.0,41.0
2014-03-28,70.0,61.0,44.0,41.0
2014-03-31,65.0,59.0,42.0,38.0
2014-04-01,66.0,59.0,42.0,38.0
2014-04-02,66.0,59.0,42.0,38.0
2014-04-03,67.0,60.0,42.0,39.0
2014-04-04,68.0,62.0,43.0,40.0
2014-04-07,67.0,61.0,43.0,40.0
2014-04-08,69.0,62.0,44.0,41.0
2014-04-09,70.0,63.0,45.0,42.0
2014-04-10,71.0,64.0,45.0,42.0
2014-04-11,71.0,64.0,45.0,42.0
2014-04-14,68.0,61.0,44.0,41.0
2014-04-15,69.0,62.0,45.0,42.0
2014-04-16,70.0,64.0,45.0,42.0
2014-04-17,68.0,62.0,45.0,42.0
2014-04-22,64.0,59.0,43.0,40.0
2014-04-23,65.0,60.0,43.0,40.0
2014-04-24,65.0,60.0,43.0,40.0
2014-04-25,63.0,58.0,41.0,38.0
2014-04-28,61.0,55.0,38.0,36.0
2014-04-29,63.0,56.0,39.0,37.0
2014-04-30,65.0,58.0,42.0,40.0
2014-05-02,60.0,54.0,39.0,38.0
2014-05-05,59.0,53.0,38.0,37.0
2014-05-06,59.0,53.0,38.0,37.0
2014-05-07,59.0,53.0,38.0,37.0
2014-05-08,59.0,53.0,39.0,38.0
2014-05-09,60.0,54.0,40.0,38.0
2014-05-12,54.0,47.0,36.0,35.0
2014-05-13,57.0,51.0,37.0,36.0
2014-05-14,57.0,51.0,37.0,36.0
2014-05-15,56.0,50.0,37.0,35.0
2014-05-16,57.0,51.0,37.0,35.0
2014-05-19,57.0,51.0,38.0,34.0
2014-05-20,62.0,56.0,41.0,37.0
2014-05-21,63.0,57.0,42.0,38.0
2014-05-22,63.0,57.0,42.0,38.0
2014-05-23,64.0,58.0,43.0,39.0
2014-05-26,65.0,59.0,43.0,39.0
2014-05-27,65.0,59.0,43.0,39.0
2014-05-28,66.0,60.0,44.0,40.0
2014-06-24,67.0,57.0,41.0,38.0
2014-06-25,67.0,57.0,41.0,38.0
2014-06-26,66.0,56.0,41.0,38.0
2014-06-27,66.0,56.0,41.0,38.0
2014-06-30,66.0,57.0,41.0,38.0
2014-07-01,66.0,57.0,41.0,38.0
2014-07-02,67.0,58.0,42.0,39.0
2014-07-03,65.0,55.0,40.0,37.0
2014-07-04,64.0,54.0,39.0,36.0
2014-07-07,64.0,55.0,39.0,36.0
2014-07-08,65.0,56.0,40.0,37.0
2014-07-09,65.0,56.0,40.0,37.0
2014-07-10,64.0,56.0,39.0,36.0
2014-07-11,64.0,56.0,39.0,36.0
2014-07-14,64.0,56.0,39.0,36.0
2014-07-15,65.0,57.0,40.0,37.0
2014-07-16,67.0,59.0,41.0,38.0
2014-07-17,65.0,58.0,41.0,37.0
2014-07-18,64.0,57.0,41.0,37.0
2014-07-21,67.0,60.0,42.0,38.0
2014-07-22,68.0,61.0,42.0,38.0
2014-07-23,68.0,61.0,42.0,38.0
2014-07-24,68.0,61.0,42.0,38.0
2014-07-25,69.0,61.0,42.0,38.0
2014-07-28,69.0,61.0,42.0,38.0
2014-07-29,70.0,62.0,42.0,38.0
2014-07-30,70.0,62.0,42.0,38.0
2014-07-31,68.0,60.0,40.0,36.0
2014-08-01,68.0,60.0,41.0,37.0
2014-08-04,63.0,56.0,39.0,35.0
2014-08-05,65.0,58.0,40.0,36.0
2014-08-06,68.0,61.0,43.0,39.0
2014-08-07,68.0,61.0,43.0,39.0
2014-08-08,71.0,64.0,45.0,40.0
2014-08-11,69.0,62.0,44.0,39.0
2014-08-12,70.0,63.0,44.0,39.0
2014-08-13,70.0,63.0,44.0,39.0
2014-08-14,69.0,62.0,43.0,38.0
2014-08-15,70.0,63.0,43.0,38.0
2014-08-18,66.0,59.0,40.0,35.0
2014-08-19,69.0,62.0,42.0,37.0
2014-08-20,70.0,63.0,43.0,38.0
2014-08-21,70.0,63.0,43.0,38.0
2014-08-22,67.0,61.0,42.0,37.0
2014-08-25,67.0,61.0,42.0,37.0
2014-08-26,69.0,63.0,44.0,39.0
2014-08-27,71.0,65.0,45.0,40.0
2014-08-28,71.0,65.0,45.0,40.0
2014-08-29,71.0,65.0,47.0,41.0
2014-09-01,70.0,64.0,45.0,39.0
2014-09-02,71.0,65.0,45.0,39.0
2014-09-03,71.0,65.0,45.0,39.0
2014-09-04,71.0,66.0,45.0,39.0
2014-09-05,71.0,66.0,45.0,39.0
2014-09-08,69.0,64.0,45.0,39.0
2014-09-09,71.0,66.0,46.0,40.0
2014-09-10,71.0,66.0,46.0,40.0
2014-09-11,73.0,67.0,47.0,41.0
2014-09-12,74.0,68.0,47.0,41.0
2014-09-15,75.0,69.0,48.0,42.0
2014-09-16,75.0,69.0,48.0,42.0
2014-09-17,76.0,70.0,50.0,44.0
2014-09-18,80.0,74.0,51.0,45.0
