Data,t0,t1,t2,t3
2014-01-02,91.0,64.0,57.0,51.0
2014-01-03,91.0,65.0,57.0,51.0
2014-01-06,90.0,64.0,56.0,50.0
2014-01-07,93.0,67.0,59.0,53.0
2014-01-08,97.0,70.0,61.0,55.0
2014-01-09,98.0,72.0,63.0,57.0
2014-01-10,97.0,72.0,63.0,57.0
2014-01-13,96.0,71.0,61.0,55.0
2014-01-14,98.0,71.0,61.0,55.0
2014-01-15,100.0,73.0,62.0,56.0
2014-01-16,99.0,70.0,59.0,54.0
2014-01-17,101.0,72.0,61.0,56.0
2014-01-20,100.0,73.0,60.0,55.0
2014-01-21,101.0,74.0,61.0,56.0
2014-01-22,104.0,76.0,62.0,57.0
2014-01-23,104.0,76.0,62.0,57.0
2014-01-24,105.0,77.0,63.0,58.0
2014-01-27,102.0,74.0,61.0,57.0
2014-01-28,102.0,75.0,62.0,58.0
2014-01-29,103.0,77.0,64.0,60.0
2014-01-30,103.0,77.0,64.0,60.0
2014-01-31,104.0,78.0,65.0,61.0
2014-02-03,104.0,77.0,64.0,60.0
2014-02-04,104.0,77.0,64.0,60.0
2014-02-05,104.0,77.0,64.0,60.0
2014-02-06,104.0,77.0,64.0,60.0
2014-02-07,104.0,77.0,64.0,60.0
2014-02-10,103.0,76.0,63.0,60.0
2014-02-11,104.0,77.0,64.0,61.0
2014-02-12,104.0,77.0,64.0,61.0
2014-02-13,103.0,76.0,63.0,60.0
2014-02-14,104.0,77.0,65.0,61.0
2014-02-17,100.0,76.0,64.0,60.0
2014-02-18,101.0,77.0,65.0,61.0
2014-02-19,101.0,77.0,65.0,62.0
2014-02-20,103.0,77.0,64.0,61.0
2014-02-21,103.0,77.0,64.0,61.0
2014-02-24,99.0,75.0,62.0,60.0
2014-02-25,99.0,75.0,62.0,60.0
2014-02-26,100.0,76.0,62.0,60.0
2014-02-27,101.0,77.0,63.0,60.0
2014-02-28,100.0,76.0,63.0,60.0
2014-03-05,97.0,73.0,60.0,58.0
2014-03-06,94.0,72.0,59.0,57.0
2014-03-07,94.0,72.0,59.0,57.0
2014-03-10,94.0,73.0,60.0,58.0
2014-03-11,94.0,73.0,60.0,58.0
2014-03-12,94.0,73.0,60.0,58.0
2014-03-13,95.0,75.0,60.0,58.0
2014-03-14,95.0,75.0,60.0,58.0
2014-03-17,95.0,75.0,59.0,57.0
2014-03-18,96.0,76.0,60.0,58.0
2014-03-19,96.0,76.0,60.0,58.0
2014-03-20,94.0,74.0,58.0,56.0
2014-03-21,94.0,74.0,58.0,56.0
2014-03-24,92.0,74.0,58.0,55.0
2014-03-25,93.0,75.0,59.0,56.0
2014-03-26,95.0,76.0,60.0,57.0
2014-03-27,95.0,76.0,60.0,57.0
2014-03-28,95.0,77.0,60.0,57.0
2014-03-31,94.0,76.0,60.0,57.0
2014-04-01,95.0,77.0,61.0,58.0
2014-04-02,96.0,77.0,61.0,58.0
2014-04-03,96.0,77.0,61.0,58.0
2014-04-04,96.0,77.0,61.0,58.0
2014-04-07,93.0,76.0,60.0,57.0
2014-04-08,93.0,76.0,60.0,57.0
2014-04-09,93.0,76.0,60.0,57.0
2014-04-10,95.0,77.0,61.0,57.0
2014-04-11,96.0,78.0,63.0,59.0
2014-04-14,97.0,79.0,63.0,59.0
2014-04-15,98.0,79.0,63.0,59.0
2014-04-16,101.0,80.0,63.0,59.0
2014-04-17,98.0,78.0,62.0,58.0
2014-04-22,96.0,76.0,60.0,56.0
2014-04-23,96.0,77.0,60.0,56.0
2014-04-24,96.0,77.0,60.0,56.0
2014-04-25,96.0,77.0,60.0,56.0
2014-04-28,82.0,65.0,50.0,47.0
2014-04-29,85.0,68.0,53.0,50.0
2014-04-30,92.0,74.0,57.0,53.0
2014-05-02,90.0,73.0,56.0,52.0
2014-05-05,91.0,75.0,57.0,53.0
2014-05-06,91.0,75.0,57.0,53.0
2014-05-07,94.0,77.0,58.0,54.0
2014-05-08,97.0,79.0,59.0,55.0
2014-05-09,97.0,79.0,59.0,55.0
2014-05-12,92.0,74.0,56.0,53.0
2014-05-13,93.0,75.0,56.0,53.0
2014-05-14,94.0,76.0,57.0,54.0
2014-05-15,91.0,74.0,58.0,55.0
2014-05-16,90.0,74.0,57.0,54.0
2014-05-19,91.0,76.0,58.0,55.0
2014-05-20,96.0,81.0,61.0,58.0
2014-05-21,96.0,82.0,61.0,58.0
2014-05-22,97.0,83.0,62.0,59.0
2014-05-23,98.0,84.0,62.0,59.0
2014-05-26,98.0,84.0,61.0,58.0
2014-05-27,98.0,84.0,61.0,58.0
2014-05-28,99.0,84.0,61.0,58.0
2014-06-24,93.0,53.0,54.0,52.0
2014-06-25,94.0,53.0,55.0,53.0
2014-06-26,92.0,53.0,55.0,53.0
2014-06-27,92.0,53.0,55.0,53.0
2014-06-30,93.0,52.0,56.0,54.0
2014-07-01,93.0,51.0,56.0,54.0
2014-07-02,94.0,52.0,57.0,55.0
2014-07-03,93.0,52.0,56.0,54.0
2014-07-04,93.0,53.0,56.0,54.0
2014-07-07,91.0,50.0,54.0,52.0
2014-07-08,93.0,54.0,56.0,54.0
2014-07-09,94.0,56.0,57.0,55.0
2014-07-10,91.0,57.0,55.0,53.0
2014-07-11,91.0,59.0,57.0,55.0
2014-07-14,91.0,61.0,59.0,57.0
2014-07-15,91.0,61.0,59.0,57.0
2014-07-16,93.0,62.0,60.0,58.0
2014-07-17,90.0,65.0,59.0,57.0
2014-07-18,91.0,64.0,57.0,55.0
2014-07-21,91.0,65.0,57.0,55.0
2014-07-22,92.0,68.0,57.0,55.0
2014-07-23,92.0,68.0,57.0,55.0
2014-07-24,91.0,68.0,57.0,55.0
2014-07-25,90.0,69.0,57.0,55.0
2014-07-28,89.0,69.0,57.0,55.0
2014-07-29,89.0,69.0,57.0,55.0
2014-07-30,90.0,70.0,58.0,56.0
2014-07-31,92.0,70.0,59.0,57.0
2014-08-01,90.0,69.0,57.0,55.0
2014-08-04,88.0,67.0,57.0,55.0
2014-08-05,92.0,70.0,58.0,56.0
2014-08-06,93.0,73.0,60.0,57.0
2014-08-07,92.0,73.0,60.0,57.0
2014-08-08,93.0,73.0,59.0,56.0
2014-08-11,93.0,74.0,59.0,56.0
2014-08-12,93.0,74.0,59.0,56.0
2014-08-13,93.0,74.0,59.0,56.0
2014-08-14,93.0,74.0,59.0,56.0
2014-08-15,94.0,74.0,59.0,56.0
2014-08-18,91.0,74.0,58.0,55.0
2014-08-19,96.0,76.0,59.0,56.0
2014-08-20,96.0,76.0,59.0,56.0
2014-08-21,95.0,75.0,58.0,55.0
2014-08-22,96.0,77.0,59.0,56.0
2014-08-25,96.0,77.0,59.0,56.0
2014-08-26,99.0,80.0,62.0,59.0
2014-08-27,100.0,81.0,63.0,60.0
2014-08-28,99.0,80.0,62.0,59.0
2014-08-29,98.0,79.0,62.0,59.0
2014-09-01,97.0,80.0,61.0,58.0
2014-09-02,99.0,82.0,62.0,59.0
2014-09-03,99.0,82.0,63.0,59.0
2014-09-04,98.0,81.0,63.0,59.0
2014-09-05,96.0,82.0,62.0,58.0
2014-09-08,90.0,79.0,59.0,55.0
2014-09-09,91.0,80.0,60.0,56.0
2014-09-10,91.0,80.0,60.0,56.0
2014-09-11,91.0,80.0,60.0,56.0
2014-09-12,93.0,82.0,60.0,56.0
2014-09-15,95.0,84.0,61.0,57.0
2014-09-16,96.0,84.0,61.0,57.0
2014-09-17,97.0,85.0,63.0,59.0
2014-09-18,100.0,90.0,65.0,61.0
2014-09-19,97.0,88.0,62.0,58.0
2014-09-22,97.0,88.0,62.0,58.0
2014-09-23,97.0,88.0,62.0,58.0
2014-09-24,97.0,88.0,62.0,58.0
2014-09-25,95.0,86.0,60.0,56.0
2014-09-26,91.0,84.0,59.0,55.0
2014-09-29,81.0,75.0,50.0,47.0
2014-09-30,84.0,78.0,51.0,47.0
2014-10-01,91.0,85.0,56.0,52.0
2014-10-02,91.0,85.0,57.0,53.0
2014-10-03,90.0,84.0,56.0,53.0
2014-10-06,88.0,82.0,56.0,53.0
2014-10-07,90.0,83.0,56.0,53.0
2014-10-08,93.0,86.0,57.0,54.0
2014-10-09,91.0,85.0,56.0,53.0
2014-10-10,89.0,84.0,54.0,51.0
2014-10-13,88.0,84.0,55.0,52.0
2014-10-14,89.0,85.0,56.0,53.0
2014-10-15,93.0,89.0,60.0,57.0
2014-10-16,93.0,88.0,59.0,56.0
2014-10-17,95.0,90.0,59.0,56.0
2014-10-20,95.0,89.0,60.0,57.0
2014-10-21,97.0,90.0,61.0,58.0
2014-10-22,98.0,91.0,62.0,59.0
2014-10-23,98.0,91.0,62.0,59.0
2014-10-24,98.0,91.0,62.0,59.0
2014-10-27,97.0,90.0,61.0,58.0
2014-10-28,98.0,92.0,62.0,59.0
2014-10-29,98.0,92.0,62.0,59.0
2014-10-30,98.0,92.0,62.0,59.0
2014-10-31,97.0,91.0,62.0,59.0
2014-11-03,91.0,85.0,59.0,56.0
2014-11-04,96.0,89.0,63.0,60.0
2014-11-05,99.0,91.0,64.0,62.0
2014-11-06,100.0,92.0,64.0,62.0
2014-11-07,101.0,93.0,64.0,62.0
2014-11-10,98.0,90.0,61.0,59.0
2014-11-11,99.0,91.0,62.0,60.0
2014-11-12,100.0,92.0,63.0,60.0
2014-11-13,100.0,92.0,64.0,61.0
2014-11-14,100.0,93.0,64.0,61.0
2014-11-17,99.0,92.0,63.0,60.0
2014-11-18,106.0,97.0,65.0,63.0
2014-11-19,106.0,97.0,65.0,63.0
2014-11-20,104.0,97.0,64.0,62.0
2014-11-21,103.0,96.0,63.0,61.0
2014-11-24,103.0,96.0,63.0,61.0
2014-11-25,103.0,96.0,63.0,61.0
2014-11-26,104.0,97.0,64.0,62.0
2014-11-27,104.0,98.0,65.0,62.0
2014-11-28,105.0,99.0,65.0,62.0
2014-12-01,102.0,96.0,62.0,59.0
2014-12-02,105.0,99.0,65.0,62.0
2014-12-03,105.0,99.0,65.0,62.0
2014-12-04,,96.0,65.0,62.0
2014-12-05,,96.0,64.0,61.0
2014-12-08,,88.0,60.0,57.0
2014-12-09,,90.0,61.0,57.0
2014-12-10,,90.0,62.0,57.0
2014-12-11,,90.0,63.0,58.0
2014-12-12,,91.0,64.0,59.0
2014-12-15,,91.0,64.0,59.0
2014-12-16,,91.0,64.0,59.0
2014-12-17,,92.0,65.0,60.0
2014-12-18,,95.0,69.0,62.0
2014-12-19,,97.0,70.0,63.0
2014-12-22,,95.0,68.0,61.0
2014-12-23,,95.0,69.0,62.0
2014-12-24,,95.0,69.0,62.0
2014-12-26,,96.0,69.0,62.0
2014-12-29,,94.0,68.0,61.0
2014-12-30,,94.0,68.0,61.0
2014-12-31,,94.0,68.0,61.0
2015-01-02,94.0,68.0,61.0,58.0
2015-01-05,92.0,67.0,60.0,57.0
2015-01-06,92.0,67.0,60.0,57.0
2015-01-07,93.0,67.0,60.0,57.0
2015-01-08,92.0,68.0,61.0,58.0
2015-01-09,90.0,67.0,59.0,56.0
2015-01-12,92.0,69.0,61.0,58.0
2015-01-13,93.0,69.0,61.0,58.0
2015-01-14,94.0,70.0,61.0,58.0
2015-01-15,96.0,72.0,63.0,60.0
2015-01-16,97.0,72.0,63.0,60.0
2015-01-19,91.0,66.0,58.0,55.0
