Data,t0,t1,t2,t3
2014-01-02,89.0,69.0,64.0,58.0
2014-01-03,90.0,69.0,64.0,58.0
2014-01-06,87.0,69.0,63.0,58.0
2014-01-07,88.0,70.0,64.0,59.0
2014-01-08,89.0,70.0,64.0,59.0
2014-01-09,91.0,72.0,65.0,60.0
2014-01-10,90.0,71.0,64.0,59.0
2014-01-13,87.0,69.0,61.0,56.0
2014-01-14,89.0,70.0,62.0,57.0
2014-01-15,91.0,72.0,64.0,59.0
2014-01-16,91.0,70.0,62.0,58.0
2014-01-17,93.0,72.0,64.0,60.0
2014-01-20,96.0,74.0,64.0,60.0
2014-01-21,97.0,75.0,65.0,60.0
2014-01-22,100.0,77.0,66.0,61.0
2014-01-23,100.0,77.0,66.0,61.0
2014-01-24,101.0,78.0,67.0,62.0
2014-01-27,96.0,73.0,62.0,58.0
2014-01-28,96.0,73.0,62.0,58.0
2014-01-29,98.0,75.0,64.0,60.0
2014-01-30,95.0,72.0,61.0,57.0
2014-01-31,99.0,76.0,65.0,61.0
2014-02-03,99.0,76.0,66.0,62.0
2014-02-04,99.0,76.0,66.0,62.0
2014-02-05,99.0,76.0,66.0,62.0
2014-02-06,100.0,77.0,66.0,62.0
2014-02-07,100.0,77.0,66.0,62.0
2014-02-10,98.0,75.0,65.0,61.0
2014-02-11,99.0,76.0,65.0,61.0
2014-02-12,99.0,76.0,65.0,61.0
2014-02-13,99.0,76.0,65.0,61.0
2014-02-14,99.0,76.0,65.0,60.0
2014-02-17,94.0,75.0,64.0,59.0
2014-02-18,97.0,77.0,66.0,61.0
2014-02-19,97.0,77.0,66.0,61.0
2014-02-20,97.0,75.0,66.0,61.0
2014-02-21,97.0,75.0,66.0,61.0
2014-02-24,93.0,74.0,64.0,59.0
2014-02-25,93.0,74.0,64.0,59.0
2014-02-26,94.0,74.0,64.0,59.0
2014-02-27,94.0,74.0,64.0,59.0
2014-02-28,94.0,74.0,64.0,60.0
2014-03-05,92.0,71.0,61.0,57.0
2014-03-06,90.0,69.0,60.0,56.0
2014-03-07,91.0,70.0,61.0,57.0
2014-03-10,92.0,70.0,61.0,57.0
2014-03-11,93.0,71.0,62.0,58.0
2014-03-12,93.0,71.0,62.0,58.0
2014-03-13,92.0,70.0,62.0,58.0
2014-03-14,90.0,69.0,61.0,57.0
2014-03-17,91.0,70.0,62.0,58.0
2014-03-18,92.0,71.0,63.0,59.0
2014-03-19,92.0,71.0,63.0,59.0
2014-03-20,92.0,70.0,61.0,57.0
2014-03-21,92.0,70.0,61.0,57.0
2014-03-24,91.0,70.0,60.0,56.0
2014-03-25,91.0,70.0,60.0,56.0
2014-03-26,91.0,70.0,60.0,56.0
2014-03-27,92.0,71.0,60.0,56.0
2014-03-28,92.0,71.0,60.0,56.0
2014-03-31,90.0,70.0,59.0,55.0
2014-04-01,92.0,72.0,61.0,57.0
2014-04-02,92.0,72.0,61.0,57.0
2014-04-03,93.0,74.0,62.0,58.0
2014-04-04,93.0,74.0,62.0,58.0
2014-04-07,89.0,72.0,61.0,57.0
2014-04-08,89.0,72.0,61.0,57.0
2014-04-09,90.0,73.0,62.0,58.0
2014-04-10,90.0,74.0,63.0,58.0
2014-04-11,90.0,74.0,63.0,58.0
2014-04-14,90.0,75.0,63.0,58.0
2014-04-15,93.0,77.0,63.0,58.0
2014-04-16,95.0,78.0,64.0,59.0
2014-04-17,92.0,76.0,62.0,57.0
2014-04-22,91.0,76.0,62.0,57.0
