Data,IPCA
2001-11-07,5.48
2001-11-08,5.79
2001-11-09,5.53
2001-11-12,5.42
2001-11-13,5.48
2001-11-14,5.53
2001-11-16,5.48
2001-11-19,5.48
2001-11-20,5.48
2001-11-21,5.48
2001-11-22,5.48
2001-11-23,5.48
2001-11-26,5.48
2001-11-27,5.5
2001-11-28,5.48
2001-11-29,5.52
2001-11-30,5.67
2001-12-03,5.67
2001-12-04,5.67
2001-12-05,5.67
2001-12-06,5.67
2001-12-07,5.67
2001-12-10,5.79
2001-12-11,5.62
2001-12-12,5.22
2001-12-13,5.22
2001-12-14,5.155
2001-12-17,5.16
2001-12-18,5.125
2001-12-19,5.115
2001-12-20,5.07
2001-12-21,5.015
2001-12-24,5.029999999999999
2001-12-26,4.975
2001-12-27,4.890000000000001
2001-12-28,4.745
2001-12-31,4.734999999999999
2002-01-02,4.705
2002-01-03,4.665
2002-01-04,4.655
2002-01-07,4.62
2002-01-08,4.625
2002-01-09,4.62
2002-01-10,4.62
2002-01-11,4.71
2002-01-14,4.715
2002-01-15,4.725
2002-01-16,4.74
2002-01-17,4.725
2002-01-18,4.779999999999999
2002-01-21,4.83
2002-01-22,4.835
2002-01-23,4.835
2002-01-24,4.734999999999999
2002-01-25,4.71
2002-01-28,4.85
2002-01-29,4.785
2002-01-30,4.77
2002-01-31,4.77
2002-02-01,4.765000000000001
2002-02-04,4.73
2002-02-05,4.745
2002-02-06,4.725
2002-02-07,4.72
2002-02-08,4.64
2002-02-11,4.635
2002-02-13,4.635
2002-02-14,4.625
2002-02-15,4.62
2002-02-18,4.62
2002-02-19,4.625
2002-02-20,4.625
2002-02-21,4.625
2002-02-22,4.67
2002-02-25,4.67
2002-02-26,4.665
2002-02-27,4.665
2002-02-28,4.6850000000000005
2002-03-01,4.695
2002-03-04,4.6899999999999995
2002-03-05,4.6850000000000005
2002-03-06,4.6850000000000005
2002-03-07,4.699999999999999
2002-03-08,4.6899999999999995
2002-03-11,4.6850000000000005
2002-03-12,4.640000000000001
2002-03-13,4.720000000000001
2002-03-14,4.79
2002-03-15,4.81
2002-03-18,4.785
2002-03-19,4.76
2002-03-20,4.77
2002-03-21,4.765
2002-03-22,4.82
2002-03-25,4.86
2002-03-26,4.86
2002-03-27,4.875
2002-03-28,4.865
2002-04-01,4.859999999999999
2002-04-02,4.87
2002-04-03,4.92
2002-04-04,4.995
2002-04-05,5.015
2002-04-08,5.005
2002-04-09,5.0
2002-04-10,4.905
2002-04-11,4.895
2002-04-12,4.9
2002-04-15,4.895
2002-04-16,4.885
2002-04-17,4.87
2002-04-18,4.859999999999999
2002-04-19,4.825
2002-04-22,4.785
2002-04-23,4.795
2002-04-24,4.795
2002-04-25,4.79
2002-04-26,4.79
2002-04-29,4.755
2002-04-30,4.745
2002-05-02,4.73
2002-05-03,4.72
2002-05-06,4.695
2002-05-07,4.6899999999999995
2002-05-08,4.68
2002-05-09,4.675
2002-05-10,4.425000000000001
2002-05-13,4.415
2002-05-14,4.425
2002-05-15,4.425
2002-05-16,4.395
2002-05-17,4.42
2002-05-20,4.42
2002-05-21,4.43
2002-05-22,4.43
2002-05-23,4.42
2002-05-24,4.385
2002-05-27,4.390000000000001
2002-05-28,4.375
2002-05-29,4.365
2002-05-31,4.37
2002-06-03,4.390000000000001
2002-06-04,4.390000000000001
2002-06-05,4.395
2002-06-06,4.395
2002-06-07,4.365
2002-06-10,4.35
2002-06-11,4.315
2002-06-12,4.305
2002-06-13,4.23
2002-06-14,4.325
2002-06-17,4.32
2002-06-18,4.4399999999999995
2002-06-19,4.4399999999999995
2002-06-20,4.38
2002-06-21,4.555
2002-06-24,4.57
2002-06-25,4.6
2002-06-26,4.6
2002-06-27,4.6
2002-06-28,4.5600000000000005
2002-07-01,4.5600000000000005
2002-07-02,4.57
2002-07-03,4.625
2002-07-04,4.625
2002-07-05,4.675
2002-07-08,4.68
2002-07-09,4.695
2002-07-10,4.68
2002-07-11,4.71
2002-07-12,4.734999999999999
2002-07-15,4.715
2002-07-16,4.765000000000001
2002-07-17,4.785
2002-07-18,4.8149999999999995
2002-07-19,4.885
2002-07-22,4.88
2002-07-23,4.88
2002-07-24,4.915
2002-07-25,4.935
2002-07-26,4.915
2002-07-29,4.895
2002-07-30,4.89
2002-07-31,4.9
2002-08-01,4.925
2002-08-02,4.915
2002-08-05,4.915
2002-08-06,4.955
2002-08-07,4.949999999999999
2002-08-08,4.98
2002-08-09,4.6850000000000005
2002-08-12,4.699999999999999
2002-08-13,4.800000000000001
2002-08-14,4.805
2002-08-15,4.720000000000001
2002-08-16,4.9399999999999995
2002-08-19,5.2
2002-08-20,5.244999999999999
2002-08-21,5.32
2002-08-22,5.27
2002-08-23,5.220000000000001
2002-08-26,5.29
2002-08-27,5.3
2002-08-28,5.3100000000000005
2002-08-29,5.3100000000000005
2002-08-30,5.32
2002-09-02,5.36
2002-09-03,5.390000000000001
2002-09-04,5.425000000000001
2002-09-05,5.449999999999999
2002-09-06,5.505
2002-09-09,5.455
2002-09-10,5.470000000000001
2002-09-11,5.470000000000001
2002-09-12,5.470000000000001
2002-09-13,5.535
2002-09-16,5.535
2002-09-17,5.535
2002-09-18,5.5600000000000005
2002-09-19,5.655
2002-09-20,5.67
2002-09-23,5.645
2002-09-24,5.635
2002-09-25,5.66
2002-09-26,5.705
2002-09-27,5.699999999999999
2002-09-30,5.72
2002-10-01,5.72
2002-10-02,5.775
2002-10-03,5.775
2002-10-04,5.75
2002-10-07,5.914999999999999
2002-10-08,6.109999999999999
2002-10-09,6.105
2002-10-10,6.33
2002-10-11,6.34
2002-10-14,6.415
2002-10-15,6.505000000000001
2002-10-16,6.585
2002-10-17,7.12
2002-10-18,7.525
2002-10-21,7.92
2002-10-22,8.05
2002-10-23,8.055
2002-10-24,8.225000000000001
2002-10-25,8.375
2002-10-28,8.405000000000001
2002-10-29,8.395
2002-10-30,8.46
2002-10-31,8.53
2002-11-01,8.86
2002-11-04,8.955
2002-11-05,9.2
2002-11-06,9.39
2002-11-07,9.415
2002-11-08,9.665
2002-11-11,9.79
2002-11-12,9.719999999999999
2002-11-13,10.309999999999999
2002-11-14,10.79
2002-11-18,10.92
2002-11-19,10.875
2002-11-20,10.885
2002-11-21,10.86
2002-11-22,11.065000000000001
2002-11-25,11.285
2002-11-26,11.74
2002-11-27,11.7
2002-11-28,11.78
2002-11-29,12.0
2002-12-02,11.91
2002-12-03,11.899999999999999
2002-12-04,11.885
2002-12-05,12.135
2002-12-06,11.575
2002-12-09,11.71
2002-12-10,11.7
2002-12-11,11.635000000000002
2002-12-12,11.76
2002-12-13,12.255
2002-12-16,12.185
2002-12-17,12.33
2002-12-18,12.48
2002-12-19,12.555
2002-12-20,12.365
2002-12-23,12.355
2002-12-24,12.33
2002-12-26,12.285
2002-12-27,12.555
2002-12-30,12.74
2002-12-31,12.719999999999999
2003-01-02,12.675
2003-01-03,12.675
2003-01-06,12.7
2003-01-07,12.73
2003-01-08,12.675
2003-01-09,12.555
2003-01-10,11.655000000000001
2003-01-13,11.33
2003-01-14,11.365
2003-01-15,11.305
2003-01-16,11.27
2003-01-17,11.22
2003-01-20,11.265
2003-01-21,11.33
2003-01-22,11.245000000000001
2003-01-23,11.265
2003-01-24,11.245000000000001
2003-01-27,11.205
2003-01-28,11.21
2003-01-29,11.205
2003-01-30,11.155000000000001
2003-01-31,11.205
2003-02-03,11.16
2003-02-04,11.14
2003-02-05,11.120000000000001
2003-02-06,11.265
2003-02-07,11.34
2003-02-10,11.280000000000001
2003-02-11,11.245000000000001
2003-02-12,11.25
2003-02-13,10.41
2003-02-14,10.525
2003-02-17,10.58
2003-02-18,10.59
2003-02-19,10.575
2003-02-20,10.565000000000001
2003-02-21,10.565000000000001
2003-02-24,10.625
2003-02-25,10.635
2003-02-26,10.645
2003-02-27,10.625
2003-02-28,10.64
2003-03-05,10.575
2003-03-06,10.555
2003-03-07,10.54
2003-03-10,10.485
2003-03-11,10.469999999999999
2003-03-12,10.45
2003-03-13,10.370000000000001
2003-03-14,9.83
2003-03-17,9.760000000000002
2003-03-18,9.685
2003-03-19,9.600000000000001
2003-03-20,9.635
2003-03-21,9.51
2003-03-24,9.41
2003-03-25,9.51
2003-03-26,9.504999999999999
