Data,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
2000-01-03,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-11,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-12,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,7.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-17,6.98,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18,6.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19,6.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-20,6.95,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-21,6.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-24,6.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-25,6.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26,6.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-27,6.98,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-28,6.98,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-31,6.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,6.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-02,6.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-03,6.94,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-04,6.93,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-07,6.93,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-08,6.93,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-09,6.97,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-10,6.97,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11,6.91,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-14,6.88,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-15,6.88,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-16,6.88,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-17,6.88,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-18,6.8,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-21,6.8,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-22,6.8,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-23,6.79,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-24,6.79,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-25,6.79,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
