Data,Mar-01,Apr-01,Jan-02,Feb-02,Mar-02,Apr-02,Jan-03,Feb-03,Mar-03,Apr-03,Jan-04,Feb-04,Mar-04,Apr-04,Jan-05,Feb-05,Mar-05,Apr-05,Jan-06,Feb-06,Mar-06,Apr-06,Jan-07,Feb-07,Mar-07,Apr-07,Jan-08,Feb-08,Mar-08,Apr-08,Jan-09,Feb-09,Mar-09,Apr-09,Jan-10,Feb-10,Mar-10,Apr-10,Jan-11,Feb-11,Mar-11,Apr-11,Jan-12,Feb-12,Mar-12,Apr-12,Jan-13,Feb-13,Mar-13,Apr-13,Jan-14,Feb-14,Mar-14,Apr-14,Jan-15,Feb-15,Mar-15,Apr-15,Jan-16,Feb-16,Mar-16,Apr-16,Jan-17,Feb-17,Mar-17,Apr-17,Jan-18,Feb-18,Mar-18,Apr-18,Jan-19,Feb-19,Mar-19,Apr-19,Jan-20,Feb-20,Mar-20,Apr-20,Jan-21,Feb-21,Mar-21,Apr-21,Jan-22,Feb-22,Mar-22,Apr-22,Jan-23,Feb-23,Mar-23,Apr-23,Jan-24,Feb-24,Mar-24,Apr-24,Jan-25,Feb-25,Mar-25,Apr-25,Jan-26,Feb-26,Mar-26,Apr-26
11/6/2001,0.74,0.5,0.34,1.35,2.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/7/2001,0.7,0.5,0.34,1.16,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/8/2001,0.67,0.42,0.12,1.09,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/9/2001,0.67,0.5,0.12,1.09,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/12/2001,0.67,0.34,0.12,1.15,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/2001,0.6,0.1,-0.6,1.15,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/14/2001,0.6,0,-1,0.71,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/16/2001,0.58,0.05,-0.86,0.71,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/19/2001,0.58,0.05,-0.86,0.71,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/20/2001,0.6,0.1,-0.72,0.8,2.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
