Data,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
2000-01-03,16.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,16.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,16.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-11,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-12,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,16.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,17.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-17,17.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18,17.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19,17.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-20,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-21,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-24,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-25,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-27,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-28,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-31,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-02,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-03,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-04,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-07,17.15,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
