Data,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029
2000-01-03,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-04,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-05,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-06,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-07,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-10,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-11,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-12,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-13,1.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-14,1.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-17,1.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-18,1.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-19,1.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-20,1.95,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-21,1.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-24,1.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-25,1.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-26,1.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-27,1.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-28,1.94,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-01-31,1.94,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-01,1.94,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-02,1.94,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-03,1.94,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-04,1.94,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-07,1.94,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-08,1.94,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-09,1.94,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-10,1.94,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-11,1.93,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-14,1.93,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-15,1.93,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-16,1.93,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-17,1.93,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-18,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-21,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-22,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-23,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-24,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-25,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-28,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-02-29,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-01,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-02,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-03,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-08,1.93,1.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-09,1.93,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-10,1.93,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-13,1.93,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-14,1.93,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-15,1.93,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-03-16,1.92,1.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
